experiment,netem_ms,RPS,approx_tps,sum_shard_tps,total_received,wall_seconds,errors
baseline,,1000,4005.27,4007.52,200000,64,native-transfers_exit_1
baseline,,2000,8020.43,8043.98,200000,68,native-transfers_exit_1
baseline,,3000,12058.62,12200.91,200000,39,native-transfers_exit_2
baseline,,5000,18569.13,18631.07,200000,26,native-transfers_exit_1
baseline,,7500,19521.04,19828.6,200000,26,native-transfers_exit_2
baseline,,9000,18930.05,19011.79,200000,25,native-transfers_exit_1
baseline,,12000,19666.22,19808.16,200000,26,native-transfers_exit_1
baseline,,15000,21345.75,21575.36,200000,23,native-transfers_exit_1
baseline,,20000,19140.41,19188.18,200000,26,native-transfers_exit_1
baseline,,25000,21812.26,22368.09,200000,23,native-transfers_exit_2
baseline,,30000,18529.24,18707.05,200000,25,native-transfers_exit_1
pinned,,1000,4005.19,4009.08,200000,69,native-transfers_exit_2
pinned,,3000,11746.85,11863.47,200000,31,native-transfers_exit_1
pinned,,5000,14576.17,14818.55,200000,28,native-transfers_exit_2
pinned,,7500,17275.94,17448.64,200000,28,native-transfers_exit_1
pinned,,15000,21067.59,21392.93,200000,24,native-transfers_exit_1
pinned,,25000,21261.34,21530.34,200000,24,native-transfers_exit_2
netem,1,3000,12061.61,12159.29,200000,33,native-transfers_exit_2
netem,1,5000,17155.09,17313.36,200000,27,native-transfers_exit_1
netem,1,7500,17286.77,17533.2,200000,26,native-transfers_exit_2
netem,1,15000,19097.28,19456.42,200000,26,native-transfers_exit_1
netem,1,25000,17739.92,17871.61,200000,25,native-transfers_exit_2
netem,2,5000,17471.18,17753.11,200000,26,native-transfers_exit_2
netem,2,7500,16536.08,16652.66,200000,27,native-transfers_exit_2
